withdrawal_amount,channel_deviation_score,velocity_10m,velocity_24h,distance_from_last_terminal_km,is_off_hours,failed_auth_attempts,amount_to_avg_ratio,pattern_name,is_fraud
3800.0,0.0546,0,1,1.98,0,0,1.46,Normal Baseline Cash Withdrawal,0
3900.0,0.004,0,0,7.27,0,0,1.53,Normal Baseline Cash Withdrawal,0
3000.0,0.0381,1,2,3.74,0,0,0.92,Normal Baseline Cash Withdrawal,0
3800.0,0.0659,0,1,3.77,0,0,1.66,Normal Baseline Cash Withdrawal,0
9600.0,0.0256,0,1,0.68,0,0,3.92,Normal Baseline Cash Withdrawal,0
1200.0,0.0425,0,1,1.09,0,0,0.28,Normal Baseline Cash Withdrawal,0
3600.0,0.0514,1,1,0.54,0,0,1.64,Normal Baseline Cash Withdrawal,0
34000.0,0.8937,3,9,71.3,1,0,14.07,Sudden Unused Channel Exploitation,1
3000.0,0.0778,0,1,0.57,0,0,1.14,Normal Baseline Cash Withdrawal,0
1100.0,0.0828,0,1,2.75,0,0,0.35,Normal Baseline Cash Withdrawal,0
4200.0,0.0729,0,1,3.53,0,0,1.2,Normal Baseline Cash Withdrawal,0
1300.0,0.0456,0,2,3.1,0,0,0.3,Normal Baseline Cash Withdrawal,0
2000.0,0.0181,0,0,5.84,0,0,0.56,Normal Baseline Cash Withdrawal,0
3900.0,0.0894,0,1,0.59,0,0,1.36,Normal Baseline Cash Withdrawal,0
2900.0,0.0155,0,1,2.52,0,0,0.67,Normal Baseline Cash Withdrawal,0
1000.0,0.0232,0,1,5.93,0,0,0.28,Normal Baseline Cash Withdrawal,0
1200.0,0.0714,0,1,0.1,0,0,0.52,Normal Baseline Cash Withdrawal,0
900.0,0.0295,0,4,2.13,0,0,0.26,Normal Baseline Cash Withdrawal,0
1100.0,0.06,0,2,6.45,0,0,0.54,Normal Baseline Cash Withdrawal,0
2700.0,0.0811,0,3,5.44,1,0,0.85,Normal Baseline Cash Withdrawal,0
3500.0,0.0054,0,1,19.96,0,0,0.88,Normal Baseline Cash Withdrawal,0
600.0,0.0249,0,1,0.88,0,0,0.14,Normal Baseline Cash Withdrawal,0
1800.0,0.0404,0,0,4.49,0,0,0.45,Normal Baseline Cash Withdrawal,0
2300.0,0.0118,0,2,3.26,0,0,0.78,Normal Baseline Cash Withdrawal,0
1700.0,0.0734,0,1,1.59,0,0,0.38,Normal Baseline Cash Withdrawal,0
3300.0,0.006,0,1,7.98,0,0,1.01,Normal Baseline Cash Withdrawal,0
1400.0,0.0029,0,0,2.71,0,0,0.35,Normal Baseline Cash Withdrawal,0
2100.0,0.0022,0,0,1.83,0,0,0.64,Normal Baseline Cash Withdrawal,0
