amount,velocity_10m,velocity_24h,distance_from_last_km,is_new_device,pattern_name,is_fraud
3279.33,0,0,0.81,0,Normal Legitimate Activity,0
312.41,0,2,2.34,0,Normal Legitimate Activity,0
1784.49,0,2,0.62,0,Normal Legitimate Activity,0
9683.72,2,5,4424.38,0,T0_36: Geographic Anomaly,1
1505.14,1,3,0.51,0,Normal Legitimate Activity,0
277.48,0,2,16.1,0,Normal Legitimate Activity,0
615.96,0,1,1.31,0,Normal Legitimate Activity,0
266.26,0,1,6.92,0,Normal Legitimate Activity,0
279.56,0,2,1.66,0,Normal Legitimate Activity,0
780.5,0,0,5.15,0,Normal Legitimate Activity,0
3141.92,1,3,0.72,0,Normal Legitimate Activity,0
821.24,0,1,8.66,0,Normal Legitimate Activity,0
425.33,0,3,11.27,1,Normal Legitimate Activity,0
1976.2,0,2,14.85,0,Normal Legitimate Activity,0
2731.38,0,0,3.36,0,Normal Legitimate Activity,0
249.78,0,4,11.32,0,Normal Legitimate Activity,0
4823.47,0,3,1.3,0,Normal Legitimate Activity,0
1430.75,0,3,8.53,0,Normal Legitimate Activity,0
1131.17,0,3,3.6,0,Normal Legitimate Activity,0
1531.77,1,3,10.13,0,Normal Legitimate Activity,0
4677.49,0,3,5.18,0,Normal Legitimate Activity,0
336.48,0,2,32.23,0,Normal Legitimate Activity,0
141.54,0,0,6.27,0,Normal Legitimate Activity,0
1181.83,0,2,7.16,0,Normal Legitimate Activity,0
322.47,0,4,3.51,0,Normal Legitimate Activity,0
1698.66,0,1,1.84,0,Normal Legitimate Activity,0
1551.56,0,3,5.68,0,Normal Legitimate Activity,0
1448.64,0,1,0.65,0,Normal Legitimate Activity,0
550.72,1,4,16.41,0,Normal Legitimate Activity,0
1336.36,0,1,12.45,1,Normal Legitimate Activity,0
664.05,1,2,1.37,0,Normal Legitimate Activity,0
1525.74,0,2,0.01,0,Normal Legitimate Activity,0
888.76,0,2,5.07,0,Normal Legitimate Activity,0
2935.45,0,0,0.28,0,Normal Legitimate Activity,0
1090.76,0,2,6.47,0,Normal Legitimate Activity,0
988.17,0,3,4.48,0,Normal Legitimate Activity,0
828.23,0,1,12.16,0,Normal Legitimate Activity,0
1775.81,0,1,9.88,0,Normal Legitimate Activity,0
2179.92,0,1,1.99,0,Normal Legitimate Activity,0
1029.26,0,4,6.55,0,Normal Legitimate Activity,0
790.46,0,5,1.07,0,Normal Legitimate Activity,0
1344.56,0,0,6.67,0,Normal Legitimate Activity,0
2370.42,0,3,7.52,0,Normal Legitimate Activity,0
